Sector,Date,Total Return (%),Total Index,Normalized Total Index,Price Return (%),Price Index,Normalized Price Index,Income Return (%),Dividend Yield (%),10-Year Treasury
Office,1993-12-31,,100.00,100.00,,100.00,100.00,,,
Office,1994-01-31,1.39,101.39,101.39,1.20,101.20,101.20,0.19,5.59,5.70
Office,1994-02-28,1.06,102.46,102.46,0.19,101.39,101.39,0.87,5.67,6.15
Office,1994-03-31,-2.92,99.47,99.47,-3.02,98.33,98.33,0.10,5.89,6.77
Office,1994-04-29,1.13,100.59,100.59,0.66,98.98,98.98,0.46,5.52,7.06
Office,1994-05-31,8.00,108.64,108.64,7.15,106.06,106.06,0.85,6.13,7.17
Office,1994-06-30,-2.71,105.70,105.70,-2.80,103.09,103.09,0.09,6.79,7.34
Office,1994-07-29,2.91,108.78,108.78,2.66,105.83,105.83,0.26,6.78,7.12
Office,1994-08-31,0.63,109.47,109.47,-0.22,105.60,105.60,0.85,7.26,7.19
Office,1994-09-30,-2.15,107.12,107.12,-2.24,103.23,103.23,0.10,7.50,7.62
Office,1994-10-31,-1.91,105.07,105.07,-2.26,100.90,100.90,0.34,7.74,7.81
Office,1994-11-30,-6.07,98.69,98.69,-7.39,93.44,93.44,1.32,8.37,7.91
Office,1994-12-30,4.23,102.86,102.86,4.15,97.32,97.32,0.07,8.09,7.84
Office,1995-01-31,-0.79,102.05,102.05,-1.82,95.55,95.55,1.03,8.25,7.60
Office,1995-02-28,1.87,103.96,103.96,0.87,96.38,96.38,1.00,8.28,7.22
Office,1995-03-31,1.56,105.58,105.58,1.45,97.78,97.78,0.11,8.22,7.20
Office,1995-04-28,1.14,106.78,106.78,0.66,98.43,98.43,0.47,8.03,7.07
Office,1995-05-31,7.62,114.92,114.92,6.18,104.51,104.51,1.45,7.61,6.30
Office,1995-06-30,1.89,117.09,117.09,1.80,106.39,106.39,0.09,7.47,6.21
Office,1995-07-31,2.64,120.18,120.18,2.20,108.73,108.73,0.44,7.33,6.45
Office,1995-08-31,3.27,124.11,124.11,1.92,110.82,110.82,1.35,7.15,6.28
Office,1995-09-29,1.74,126.27,126.27,1.69,112.69,112.69,0.05,6.70,6.17
Office,1995-10-31,2.46,129.37,129.37,1.84,114.76,114.76,0.62,6.74,6.03
Office,1995-11-30,2.90,133.12,133.12,1.49,116.47,116.47,1.41,6.72,5.76
Office,1995-12-29,7.24,142.76,142.76,7.24,124.90,124.90,0.00,6.10,5.58
Office,1996-01-31,3.85,148.26,148.26,3.57,129.36,129.36,0.28,5.83,5.60
Office,1996-02-29,1.85,151.01,151.01,0.69,130.25,130.25,1.17,5.82,6.13
Office,1996-03-29,-1.01,149.48,149.48,-1.05,128.88,128.88,0.04,6.35,6.34
Office,1996-04-30,3.17,154.22,154.22,2.81,132.50,132.50,0.36,6.17,6.66
Office,1996-05-31,1.87,157.11,157.11,0.70,133.43,133.43,1.17,6.17,6.85
Office,1996-06-28,1.06,158.77,158.77,1.06,134.84,134.84,0.00,6.12,6.73
Office,1996-07-31,0.79,160.02,160.02,0.49,135.50,135.50,0.30,6.13,6.80
Office,1996-08-30,7.77,172.46,172.46,6.08,143.74,143.74,1.69,7.08,6.96
Office,1996-09-30,3.11,177.83,177.83,3.11,148.21,148.21,0.00,5.82,6.72
Office,1996-10-31,-0.23,177.42,177.42,-0.43,147.58,147.58,0.19,4.94,6.37
Office,1996-11-29,6.98,189.81,189.81,5.87,156.25,156.25,1.11,5.90,6.06
Office,1996-12-31,14.19,216.74,216.74,14.19,178.42,178.42,0.00,5.12,6.43
Office,1997-01-31,1.72,220.47,220.47,1.35,180.83,180.83,0.37,5.04,6.53
Office,1997-02-28,1.13,222.96,222.96,0.48,181.70,181.70,0.65,5.07,6.56
Office,1997-03-31,-2.32,217.79,217.79,-2.53,177.10,177.10,0.21,5.20,6.92
Office,1997-04-30,-6.32,204.02,204.02,-6.63,165.35,165.35,0.31,5.72,6.72
Office,1997-05-30,2.52,209.16,209.16,1.70,168.16,168.16,0.82,5.63,6.67
Office,1997-06-30,9.21,228.42,228.42,8.69,182.77,182.77,0.52,5.34,6.51
Office,1997-07-31,4.33,238.32,238.32,4.04,190.15,190.15,0.30,4.99,6.02
Office,1997-08-29,1.85,242.74,242.74,1.37,192.76,192.76,0.48,5.03,6.34
Office,1997-09-30,15.10,279.40,279.40,14.95,221.57,221.57,0.16,4.39,6.12
Office,1997-10-31,-5.87,263.01,263.01,-6.39,207.42,207.42,0.52,4.66,5.84
Office,1997-11-28,4.17,273.97,273.97,3.65,215.00,215.00,0.51,4.49,5.86
Office,1997-12-31,2.06,279.61,279.61,1.71,218.67,218.67,0.35,4.39,5.75
Office,1998-01-30,-1.79,274.60,274.60,-2.33,213.57,213.57,0.54,4.63,5.53
Office,1998-02-27,-2.72,267.13,267.13,-3.01,207.15,207.15,0.29,5.18,5.62
Office,1998-03-31,2.34,273.39,273.39,2.21,211.73,211.73,0.13,5.09,5.67
Office,1998-04-30,-3.73,263.18,263.18,-4.54,202.11,202.11,0.81,5.46,5.68
Office,1998-05-29,-2.01,257.90,257.90,-2.37,197.31,197.31,0.37,5.60,5.56
Office,1998-06-30,-0.62,256.30,256.30,-0.78,195.78,195.78,0.16,5.64,5.44
Office,1998-07-31,-7.48,237.12,237.12,-8.20,179.73,179.73,0.71,6.15,5.50
Office,1998-08-31,-10.06,213.26,213.26,-10.49,160.87,160.87,0.43,6.94,5.05
Office,1998-09-30,6.04,226.15,226.15,5.87,170.31,170.31,0.18,6.58,4.44
Office,1998-10-30,-1.35,223.09,223.09,-2.40,166.22,166.22,1.05,7.06,4.64
