Date,SP500,Normalized SP500
1993-12-31,568.2,100.00
1994-01-31,587.52,103.40
1994-02-28,571.57,100.59
1994-03-31,546.65,96.21
1994-04-29,553.66,97.44
1994-05-31,562.75,99.04
1994-06-30,548.96,96.61
1994-07-29,566.98,99.79
1994-08-31,590.23,103.88
1994-09-30,575.8,101.34
1994-10-31,588.73,103.61
1994-11-30,567.29,99.84
1994-12-30,575.71,101.32
1995-01-31,590.64,103.95
1995-02-28,613.65,108.00
1995-03-31,631.76,111.19
1995-04-28,650.36,114.46
1995-05-31,676.36,119.04
1995-06-30,692.07,121.80
1995-07-31,715.02,125.84
1995-08-31,716.82,126.16
1995-09-29,747.07,131.48
1995-10-31,744.4,131.01
1995-11-30,777.07,136.76
1995-12-29,792.04,139.39
1996-01-31,819,144.14
1996-02-29,826.59,145.48
1996-03-29,834.55,146.88
1996-04-30,846.85,149.04
1996-05-31,868.69,152.88
1996-06-28,872.01,153.47
1996-07-31,833.48,146.69
1996-08-30,851.06,149.78
1996-09-30,898.97,158.21
1996-10-31,923.76,162.58
1996-11-29,993.58,174.86
1996-12-31,973.9,171.40
1997-01-31,"1,034.74",182.11
1997-02-28,"1,042.85",183.54
1997-03-31,"1,000.00",175.99
1997-04-30,"1,059.70",186.50
1997-05-30,"1,124.22",197.86
1997-06-30,"1,174.59",206.72
1997-07-31,"1,268.05",223.17
1997-08-29,"1,197.01",210.67
1997-09-30,"1,262.56",222.20
1997-10-31,"1,220.40",214.78
1997-11-28,"1,276.89",224.73
1997-12-31,"1,298.82",228.59
1998-01-30,"1,313.19",231.11
1998-02-27,"1,407.90",247.78
1998-03-31,"1,480.00",260.47
1998-04-30,"1,494.89",263.09
1998-05-29,"1,469.19",258.57
1998-06-30,"1,528.87",269.07
1998-07-31,"1,512.59",266.21
1998-08-31,"1,293.90",227.72
1998-09-30,"1,376.79",242.31
1998-10-30,"1,488.78",262.02
1998-11-30,"1,579.02",277.90
1998-12-31,"1,670.01",293.91
1999-01-29,"1,739.84",306.20
1999-02-26,"1,685.77",296.69
1999-03-31,"1,753.21",308.56
1999-04-30,"1,821.11",320.51
1999-05-28,"1,778.10",312.94
1999-06-30,"1,876.78",330.30
1999-07-30,"1,818.18",319.99
1999-08-31,"1,809.19",318.41
1999-09-30,"1,759.59",309.68
1999-10-29,"1,870.94",329.27
1999-11-30,"1,908.97",335.97
1999-12-31,"2,021.40",355.76
2000-01-31,"1,919.84",337.88
2000-02-29,"1,883.50",331.49
2000-03-31,"2,067.76",363.91
2000-04-28,"2,005.55",352.97
2000-05-31,"1,964.40",345.72
2000-06-30,"2,012.83",354.25
2000-07-31,"1,981.36",348.71
2000-08-31,"2,104.43",370.37
2000-09-29,"1,993.33",350.81
2000-10-31,"1,984.91",349.33
2000-11-30,"1,828.42",321.79
2000-12-29,"1,837.37",323.37
2001-01-31,"1,902.55",334.84
2001-02-28,"1,729.08",304.31
2001-03-30,"1,619.54",285.03
2001-04-30,"1,745.39",307.18
2001-05-31,"1,757.09",309.24
2001-06-29,"1,714.32",301.71
2001-07-31,"1,697.45",298.74
2001-08-31,"1,591.18",280.04
2001-09-28,"1,462.69",257.43
2001-10-31,"1,490.58",262.33
2001-11-30,"1,604.92",282.46
2001-12-31,"1,618.98",284.93
2002-01-31,"1,595.35",280.77
2002-02-28,"1,564.59",275.36
2002-03-28,"1,623.43",285.71
2002-04-30,"1,525.00",268.39
2002-05-31,"1,513.77",266.41
2002-06-28,"1,405.94",247.44
2002-07-31,"1,296.34",228.15
2002-08-30,"1,304.86",229.65
2002-09-30,"1,163.04",204.69
2002-10-31,"1,265.41",222.71
2002-11-29,"1,339.89",235.81
2002-12-31,"1,261.18",221.96
2003-01-31,"1,228.14",216.15
2003-02-28,"1,209.71",212.90
2003-03-31,"1,221.46",214.97
2003-04-30,"1,322.07",232.68
2003-05-30,"1,391.72",244.93
2003-06-30,"1,409.48",248.06
2003-07-31,"1,434.33",252.43
2003-08-29,"1,462.30",257.36
2003-09-30,"1,446.77",254.62
2003-10-31,"1,528.62",269.03
2003-11-28,"1,542.07",271.40
2003-12-31,"1,622.94",285.63
2004-01-30,"1,652.73",290.87
2004-02-27,"1,675.70",294.91
2004-03-31,"1,650.42",290.46
2004-04-30,"1,624.51",285.90
2004-05-28,"1,646.80",289.83
2004-06-30,"1,678.83",295.46
2004-07-30,"1,623.26",285.68
2004-08-31,"1,629.83",286.84
2004-09-30,"1,647.48",289.95
2004-10-29,"1,672.65",294.38
2004-11-30,"1,740.33",306.29
2004-12-31,"1,799.55",316.71
2005-01-31,"1,755.68",308.99
2005-02-28,"1,792.63",315.49
2005-03-31,"1,760.89",309.91
2005-04-29,"1,727.49",304.03
2005-05-31,"1,782.46",313.70
2005-06-30,"1,784.99",314.15
2005-07-29,"1,851.37",325.83
